p-a-price-generated,P_price,P_number,X,Y
13.65,13.0,-1152,900430.0594977529,251638.2539212332
12.80,11.85,F1001,870726.7713477551,199950.09785639294
12.85,,F1002,873226.7713477551,199950.09785639294
13.90,14.45,F1003,890276.7712569232,200060.09785639108
13.90,14.05,F1004,895826.7713540248,200060.09785639108
13.85,13.95,F1005,898326.7713540248,200060.09785639108
13.30,13.35,F1006,901426.7713540248,200060.09785639294
12.75,,F1007,903926.7713540248,200060.09785639108
13.35,13.95,F1008,906426.7713540248,200060.09785639108
14.00,13.35,F1009,909526.7713540248,200060.09785639294
12.70,14.45,F1010,912026.7713540248,200060.09785639108
11.95,11.95,F1028,866676.7713477353,187980.09785639434
10.55,8.55,F1014,881976.7713540345,189760.0978563892
11.50,9.1,F1015,912176.7713540345,189760.09785639108
12.70,12.85,F1016,877126.7713540345,189260.0978563892
12.20,12.65,F1017,879626.7713540345,189260.0978563892
12.30,11.75,F1018,885226.7713540345,189260.0978563892
12.35,12.85,F1019,887726.7713540345,189260.0978563892
13.00,13.05,F1020,890226.7713540345,189260.0978563892
13.05,13.25,F1021,893326.7713540345,189260.0978563892
12.45,12.85,F1022,895826.7713540345,189260.09785639108
13.00,13.05,F1023,898326.7713540345,189260.09785639108
13.05,13.05,F1024,901426.7713540345,189260.0978563892
12.55,12.85,F1025,903926.7713540345,189260.09785639108
13.15,13.0,F1026,906426.7713540345,189260.09785639108
12.75,10.85,F1027,914526.7713540345,189260.09785639108
12.50,12.65,F1029,877126.7713540345,178360.09785639108
12.60,12.45,F1031,882126.7713540345,178360.09785639108
12.65,12.45,F1032,885226.7713540345,178360.09785639108
12.15,12.45,F1033,887726.7713540345,178360.09785639108
12.80,12.85,F1034,890226.7713540345,178360.09785639108
12.85,12.85,F1035,893326.7713540345,178360.09785639108
12.25,,F1036,895826.7713540345,178360.0978563892
12.80,12.85,F1037,898326.7713540345,178360.0978563892
12.85,12.85,F1038,901426.7713540345,178360.09785639108
12.35,11.65,F1039,903926.7713540345,178360.0978563892
12.95,12.35,F1040,906426.7713540345,178360.0978563892
13.05,12.75,F1041,912026.7713540345,178460.0978563892
,,F1042,914526.7713540345,178460.0978563892
12.30,,F1043,877095.1306891872,167565.23548911404
12.35,,F1044,879595.1306891872,167565.23548911404
12.40,12.65,F1045,882095.1306891872,167565.23548911404
12.50,12.65,F1046,885195.1306891872,167565.23548911404
12.55,12.45,F1047,887695.1306891872,167565.23548911404
13.05,13.25,F1048,890195.1306891872,167565.23548911404
10.95,10.05,F1049,893176.8757750983,168065.23548911404
,,F1050,898295.1306891872,167565.23548911637
12.70,,F1051,901395.1306891872,167565.23548911404
12.20,,F1052,903895.1306891872,167565.23548911637
12.75,,F1053,906395.1306891872,167565.23548911637
,,F1054,909495.1306891872,167565.23548911404
11.30,,F1055,913676.7713477549,168160.09785639108
11.25,,F1056,826826.7713540345,157750.09786230823
10.80,,F1057,829326.7713540345,157750.09786230823
11.40,,F1058,831826.7713540345,157750.09786230823
11.45,11.95,F1059,834926.7713540345,157750.09786230823
11.55,11.95,F1060,837426.7713540345,157750.09786230823
11.60,11.95,F1061,840526.7713540345,157750.09786230637
11.05,,F1062,843026.7713540345,157750.09786230823
11.70,11.65,F1063,845526.7713540345,157750.09786230823
11.25,11.15,F1064,856926.7713540345,157750.09785639108
11.30,,F1065,859426.7713540345,157750.09785639294
11.90,11.15,F1066,861926.7713540345,157750.09785639294
12.00,11.15,F1067,865026.7713540345,157750.09785639108
12.05,11.15,F1068,867526.7713540345,157750.09785639108
10.65,,F1069,826826.7713540266,152200.09785639294
10.70,,F1070,829326.7713540266,152200.09785639294
11.30,11.45,F1071,831826.7713540266,152200.09785639294
11.35,11.35,F1072,834926.7713540345,152200.09785639294
11.40,11.35,F1073,837426.7713540345,152200.09785639294
11.45,10.45,F1074,840526.7713540345,152200.09785639294
11.50,,F1075,843026.7713540345,152200.09785639294
9.95,6.45,F1076,845376.7713540345,151700.09785639294
11.60,,F1077,848826.7713540345,152200.09785639294
11.05,,F1078,851326.7713540345,152200.09785639294
11.75,11.35,F1079,853826.7713540345,152200.09785639294
11.80,11.15,F1080,856926.7713540345,152200.09785639294
11.25,10.95,F1081,859426.7713540345,152200.09785639294
11.90,10.95,F1082,861926.7713540345,152200.09785639294
11.95,10.95,F1083,865026.7713540345,152200.09785639294
12.05,10.15,F1084,867526.7713540345,152200.09785639294
10.55,6.95,F1085,829326.7713540345,141400.09785638435
11.10,,F1086,831826.7713540345,141400.09785638435
11.15,,F1087,834926.7713540345,141400.09785639294
11.20,,F1088,837426.7713540345,141400.09785639294
11.25,,F1089,840526.7713540345,141400.09785639108
11.35,,F1091,845526.7713540345,141400.09785639294
11.40,,F1092,848826.7713540345,141400.09785639294
10.90,,F1093,851326.7713540345,141400.09785639294
11.50,,F1094,853826.7713540345,141400.09785639294
11.55,,F1095,856926.7713540345,141400.09785639108
11.05,,F1096,859426.7713540345,141400.09785639294
11.65,,F1097,861926.7713540345,141400.09785639294
11.75,6.95,F1098,865026.7713540345,141400.09785639108
12.30,,-1354,876680.0243660904,88430.0978551354
,,-1402,899530.0243804125,54630.09785401995
14.30,,-101,779222.8490053935,302850.0978623068
12.70,,-1114,866580.0243660734,275843.8328020654
10.60,,-1634,759486.7087132342,202199.84592175166
10.60,,-1635,769986.7087132342,202199.84592000497
10.65,,-1636,779665.0213063125,202199.84591840822
10.60,,-1215,793680.0243598031,190200.097856392
10.55,10.95,-1222,806780.0243598031,174093.83279615288
10.85,,-1601,767530.0243598035,172950.0978615236
9.75,10.05,-1621,750930.0243660834,165000.09786152266
10.85,,-1618,761230.0243618675,160500.09786152406
